创意ID,创意名称,创意状态,创意审核状态,广告类型,推广目标,创意类型,笔记/素材ID,作者ID,笔记类型,商品ID,计划名称,计划ID,创意创建时间,消费,展现量,点击量,点击率,平均点击成本,平均千次展示费用,直播间观看次数,直播间观看成本,直播间平均停留时长,直播间新增粉丝数量,直播间5s观看次数,直播间5s观看成本,直播间评论次数,直播间30s观看次数,直播间30s观看成本,7日总商品访客量,7日总商品访客成本,7日总商品加购量,7日总商品加购成本,7日总下单订单量,7日总下单订单成本,7日总下单金额,7日总下单ROI,7日总支付订单量,7日总支付订单成本,7日总支付金额,7日总支付ROI,直播间直接下单订单量,直播间直接下单订单成本,直播间直接下单金额,直播间直接下单ROI,直播间直接支付订单量,直播间直接支付订单成本,直播间直接支付金额,直播间直接支付ROI,店铺新客商品访问量,店铺新客支付订单量,店铺新客支付金额
1270314893,商销通投托管-经典大胸-自产-悟了-23~35-ROI-4.14-视频,被计划暂停,不满足审核条件,通投,商品7日总下单ROI,笔记（商品组件）,67edeb41000000001b0240bc,5c6e75ba000000001201be11,视频笔记,6789edbc2b5554001514e8f8,商销通投托管-经典大胸-自产-悟了-23~35-ROI-4.14-视频,111375314,2025-04-14 10:56:34,0.00,0,0,0.0%,0.0,0.0,0,0.00,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.00,0.0,0,0,0
1270274615,商销通投托管-经典大胸-自产-悟了-高级感穿搭-ROI-4.14-视频,被计划暂停,不满足审核条件,通投,商品7日总下单ROI,笔记（商品组件）,67edeb41000000001b0240bc,5c6e75ba000000001201be11,视频笔记,6789edbc2b5554001514e8f8,商销通投托管-经典大胸-自产-悟了-高级感穿搭-ROI-4.14-视频,111355701,2025-04-14 10:56:07,0.00,0,0,0.0%,0.0,0.0,0,0.00,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.00,0.0,0,0,0
1270274310,商销通投托管-经典大胸-自产-悟了-店铺人群-ROI-4.14-视频,被计划暂停,审核通过,通投,商品7日总下单ROI,笔记（商品组件）,67edeb41000000001b0240bc,5c6e75ba000000001201be11,视频笔记,6789edbc2b5554001514e8f8,商销通投托管-经典大胸-自产-悟了-店铺人群-ROI-4.14-视频,111355676,2025-04-14 10:55:45,0.00,0,0,0.0%,0.0,0.0,0,0.00,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.00,0.0,0,0,0
1270313974,商销通投托管-经典大胸-自产-高颜值-23~35-ROI-4.14,被计划暂停,不满足审核条件,通投,商品7日总下单ROI,笔记（商品组件）,67da1636000000000302941e,5c6e75ba000000001201be11,图文笔记,6789edbc2b5554001514e8f8,商销通投托管-经典大胸-自产-高颜值-23~35-ROI-4.14,111375258,2025-04-14 10:55:14,0.00,0,0,0.0%,0.0,0.0,0,0.00,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.00,0.0,0,0,0
1270045707,商销通投托管-经典大胸-自产-高颜值-高级感穿搭-ROI-4.14,被计划暂停,不满足审核条件,通投,商品7日总下单ROI,笔记（商品组件）,67da1636000000000302941e,5c6e75ba000000001201be11,图文笔记,6789edbc2b5554001514e8f8,商销通投托管-经典大胸-自产-高颜值-高级感穿搭-ROI-4.14,111372983,2025-04-14 10:54:48,0.00,0,0,0.0%,0.0,0.0,0,0.00,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.00,0.0,0,0,0
1270217675,商销通投托管-经典大胸-自产-高颜值-店铺人群-ROI-4.14,被计划暂停,不满足审核条件,通投,商品7日总下单ROI,笔记（商品组件）,67da1636000000000302941e,5c6e75ba000000001201be11,图文笔记,6789edbc2b5554001514e8f8,商销通投托管-经典大胸-自产-高颜值-店铺人群-ROI-4.14,111355622,2025-04-14 10:54:27,0.00,0,0,0.0%,0.0,0.0,0,0.00,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.00,0.0,0,0,0
1270313103,商销通投托管-糯糯杯大胸-自产-它都有-23~35-ROI-4.14-视频,被计划暂停,不满足审核条件,通投,商品7日总下单ROI,笔记（商品组件）,67e522e3000000001d02fa47,5c6e75ba000000001201be11,视频笔记,6789edff6dd9a600157bdae8,商销通投托管-糯糯杯大胸-自产-它都有-23~35-ROI-4.14-视频,111372949,2025-04-14 10:53:53,0.00,0,0,0.0%,0.0,0.0,0,0.00,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.00,0.0,0,0,0
1270272933,商销通投托管-糯糯杯大胸-自产-它都有-高级感穿搭-ROI-4.14-视频,被计划暂停,不满足审核条件,通投,商品7日总下单ROI,笔记（商品组件）,67e522e3000000001d02fa47,5c6e75ba000000001201be11,视频笔记,6789edff6dd9a600157bdae8,商销通投托管-糯糯杯大胸-自产-它都有-高级感穿搭-ROI-4.14-视频,111355578,2025-04-14 10:53:23,0.00,0,0,0.0%,0.0,0.0,0,0.00,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.00,0.0,0,0,0
1270272635,商销通投托管-糯糯杯大胸-自产-它都有-店铺人群-ROI-4.14-视频,被计划暂停,不满足审核条件,通投,商品7日总下单ROI,笔记（商品组件）,67e522e3000000001d02fa47,5c6e75ba000000001201be11,视频笔记,6789edff6dd9a600157bdae8,商销通投托管-糯糯杯大胸-自产-它都有-店铺人群-ROI-4.14-视频,111361361,2025-04-14 10:52:55,0.00,0,0,0.0%,0.0,0.0,0,0.00,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.00,0.0,0,0,0
1270095925,商销通投托管-糯糯杯大胸-自产-天菜-高级感穿搭-ROI-4.14,被计划暂停,不满足审核条件,通投,商品7日总下单ROI,笔记（商品组件）,67da2993000000000b01592f,5c6e75ba000000001201be11,图文笔记,6789edff6dd9a600157bdae8,商销通投托管-糯糯杯大胸-自产-天菜-高级感穿搭-ROI-4.14,111349981,2025-04-14 10:52:01,0.00,0,0,0.0%,0.0,0.0,0,0.00,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.00,0.0,0,0,0
