创意ID,创意名称,创意状态,创意审核状态,广告类型,推广目标,创意类型,笔记/素材ID,作者ID,笔记类型,计划名称,计划ID,创意创建时间,消费,展现量,点击量,点击率,平均点击成本,平均千次展示费用,直播间观看次数,直播间观看成本,直播间平均停留时长,直播间新增粉丝数量,直播间5s观看次数,直播间5s观看成本,直播间评论次数,直播间30s观看次数,直播间30s观看成本,7日总商品访客量,7日总商品访客成本,7日总商品加购量,7日总商品加购成本,7日总下单订单量,7日总下单订单成本,7日总下单金额,7日总下单ROI,7日总支付订单量,7日总支付订单成本,7日总支付金额,7日总支付ROI,直播间直接下单订单量,直播间直接下单订单成本,直播间直接下单金额,直播间直接下单ROI,直播间直接支付订单量,直播间直接支付订单成本,直播间直接支付金额,直播间直接支付ROI,店铺新客商品访问量,店铺新客支付订单量,店铺新客支付金额
2855540138,直播通投托管-猫耳杯-自产-代餐-美依礼芽粉丝人群-ROI-11.11-放量,被计划暂停,审核通过,通投,直播间直接支付ROI,笔记（直播组件）,68f0c3210000000005039fde,5c6e75ba000000001201be11,视频笔记,直播通投托管-美依礼芽-美依礼芽粉丝人群-ROI-11.11-放量,154932786,2025-11-11 20:27:20,0.00,0,0,0.0%,0.0,0.0,0,0.00,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.00,0.0,0,0,0
2849913612,直播通投托管-小懒猫-自产-秋冬舒适无痕-细节装饰（36+）-ROI-11.11,被计划暂停,审核通过,通投,直播间直接支付ROI,笔记（直播组件）,690dc37c000000000400187b,5c6e75ba000000001201be11,视频笔记,直播通投托管-小懒猫-自产-秋冬舒适无痕-细节装饰（36+）-ROI-11.11,154794966,2025-11-11 09:58:52,0.00,0,0,0.0%,0.0,0.0,0,0.00,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.00,0.0,0,0,0
2844235852,直播通投托管-合集-官号-官宣-美依礼芽粉丝人群-ROI-11.10,被计划暂停,审核通过,通投,直播间直接支付ROI,笔记（直播组件）,68e8ad6b00000000040040c8,5c6e75ba000000001201be11,视频笔记,直播通投托管-美依礼芽-美依礼芽粉丝人群-ROI-11.10,154738860,2025-11-10 17:26:35,0.00,0,0,0.0%,0.0,0.0,0,0.00,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.00,0.0,0,0,0
2844235851,直播通投托管-小懒猫-官号-美依礼芽私服-美依礼芽粉丝人群-ROI-11.10,被计划暂停,审核通过,通投,直播间直接支付ROI,笔记（直播组件）,690463610000000004010808,5c6e75ba000000001201be11,视频笔记,直播通投托管-美依礼芽-美依礼芽粉丝人群-ROI-11.10,154738860,2025-11-10 17:26:35,0.00,0,0,0.0%,0.0,0.0,0,0.00,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.00,0.0,0,0,0
2844235850,直播通投托管-波波杯-官号-双11必入-美依礼芽粉丝人群-ROI-11.10,被计划暂停,不满足审核条件,通投,直播间直接支付ROI,笔记（直播组件）,68ef51d00000000004029f23,5c6e75ba000000001201be11,视频笔记,直播通投托管-美依礼芽-美依礼芽粉丝人群-ROI-11.10,154738860,2025-11-10 17:26:35,0.00,0,0,0.0%,0.0,0.0,0,0.00,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.00,0.0,0,0,0
2844235849,直播通投托管-糯糯杯小胸-自产-新哲学-美依礼芽粉丝人群-ROI-11.10,被计划暂停,审核通过,通投,直播间直接支付ROI,笔记（直播组件）,68ff37520000000004004d20,5c6e75ba000000001201be11,视频笔记,直播通投托管-美依礼芽-美依礼芽粉丝人群-ROI-11.10,154738860,2025-11-10 17:26:35,0.00,0,0,0.0%,0.0,0.0,0,0.00,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.00,0.0,0,0,0
2844235848,直播通投托管-波波杯-自产-人类设计-美依礼芽粉丝人群-ROI-11.10,被计划暂停,审核通过,通投,直播间直接支付ROI,笔记（直播组件）,68fb116b000000000401519a,5c6e75ba000000001201be11,视频笔记,直播通投托管-美依礼芽-美依礼芽粉丝人群-ROI-11.10,154738860,2025-11-10 17:26:35,0.00,0,0,0.0%,0.0,0.0,0,0.00,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.00,0.0,0,0,0
2844235847,直播通投托管-猫耳杯-自产-无痕内衣-美依礼芽粉丝人群-ROI-11.10,被计划暂停,审核通过,通投,直播间直接支付ROI,笔记（直播组件）,68ff39c90000000005031ced,5c6e75ba000000001201be11,视频笔记,直播通投托管-美依礼芽-美依礼芽粉丝人群-ROI-11.10,154738860,2025-11-10 17:26:35,0.00,0,0,0.0%,0.0,0.0,0,0.00,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.00,0.0,0,0,0
2844235846,直播通投托管-救星杯-自产-舒适度过-美依礼芽粉丝人群-ROI-11.10,被计划暂停,审核通过,通投,直播间直接支付ROI,笔记（直播组件）,6900614200000000040030bf,5c6e75ba000000001201be11,视频笔记,直播通投托管-美依礼芽-美依礼芽粉丝人群-ROI-11.10,154738860,2025-11-10 17:26:35,0.00,0,0,0.0%,0.0,0.0,0,0.00,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.00,0.0,0,0,0
2844235845,直播通投托管-救星杯-官号-美依礼芽同款-美依礼芽粉丝人群-ROI-11.10,被计划暂停,审核拒绝,通投,直播间直接支付ROI,笔记（直播组件）,68f5fa170000000004002ded,5c6e75ba000000001201be11,视频笔记,直播通投托管-美依礼芽-美依礼芽粉丝人群-ROI-11.10,154738860,2025-11-10 17:26:35,0.00,0,0,0.0%,0.0,0.0,0,0.00,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.00,0.0,0,0,0
